Media de tiempos de Espera TS - Time Series Histogram
procesed = 11549
mean = 14944.1	variance = 6.37775e+07	sd = 7986.08
minX = 30	maxX = 28800
minY = 0	maxY = 20.9553

      30         0
 59.9688         0
 89.9375         0
 119.906         0
 149.875         0
 179.844         0
 209.812         0
 239.781         0
  269.75         0
 299.719         0
 329.688         0
 359.656         0
 389.625         0
 419.594         0
 449.562         0
 479.531         0
   509.5         0
 539.469         0
 569.438         0
 599.406         0
 629.375         0
 659.344         0
 689.312         0
 719.281         0
  749.25         0
 779.219         0
 809.188         0
 839.156         0
 869.125         0
 899.094         0
 929.062         0
 959.031   2.97768
     989   2.76499
 1018.97   2.82634
 1048.94   3.82136
 1078.91   5.67771
 1108.88   5.67771
 1138.84   7.48907
 1168.81   7.48907
 1198.78   7.48907
 1228.75   8.48966
 1258.72    9.2269
 1288.69    9.2269
 1318.66   8.97753
 1348.62   9.43481
 1378.59   9.35623
 1408.56   9.12232
 1438.53   8.89983
  1468.5   9.00507
 1498.47   8.79565
 1528.44   8.40473
 1558.41   8.40473
 1588.38   8.22202
 1618.34   8.22202
 1648.31   8.22202
 1678.28   8.22202
 1708.25   8.04708
 1738.22   8.04708
 1768.19   8.04708
 1798.16   8.04708
 1828.12   8.04708
 1858.09   8.04708
 1888.06   7.71863
 1918.03   7.41594
    1948   7.44621
 1977.97   7.30572
 2007.94   7.17043
 2037.91   7.17043
 2067.88   7.17043
 2097.84   6.91434
 2127.81   6.79304
 2157.78   6.56277
 2187.75   6.45339
 2217.72   6.24521
 2247.69   6.14608
 2277.66   6.05005
 2307.62   6.24277
 2337.59    6.1496
 2367.56   6.05916
 2397.53   6.36357
  2427.5   6.18432
 2457.47   6.09842
 2487.44    5.9336
 2517.41    5.9336
 2547.38   5.85449
 2577.34   5.70242
 2607.31    6.0058
 2637.28    6.0058
 2667.25   6.31855
 2697.22   7.03458
 2727.19   7.51048
 2757.16    8.5819
 2787.12   8.53428
 2817.09   8.43504
 2847.06   8.33809
 2877.03   8.33809
    2907   8.33809
 2936.97   8.33809
 2966.94   8.15071
 2996.91   8.15071
 3026.88   8.15071
 3056.84   8.15071
 3086.81   8.15071
 3116.78   8.06015
 3146.75   7.88493
 3176.72   7.88493
 3206.69   7.80015
 3236.66   7.71717
 3266.62   7.53251
 3296.59   7.53251
 3326.56   7.78956
 3356.53    8.2702
  3386.5    8.4988
 3416.47   8.83993
 3446.44   8.75326
 3476.41   8.66828
 3506.38   8.66828
 3536.34   8.58493
 3566.31   8.42295
 3596.28   8.34423
 3626.25   8.11666
 3656.22   8.11666
 3686.19   8.01084
 3716.16   7.94057
 3746.12   7.99929
 3776.09   8.07996
 3806.06   8.63902
 3836.03   8.63902
    3866   8.63902
 3895.97   10.2849
 3925.94   10.1163
 3955.91   10.2766
 3985.88   10.3037
 4015.84   10.4286
 4045.81   10.4286
 4075.78   10.4286
 4105.75   11.0712
 4135.72   11.8853
 4165.69   13.6377
 4195.66   13.6377
 4225.62   15.4176
 4255.59   15.4176
 4285.56   15.4176
 4315.53   18.2454
  4345.5   19.2122
 4375.47   19.2122
 4405.44   20.9553
 4435.41   20.9553
 4465.38   20.9553
 4495.34   20.9553
 4525.31   20.8056
 4555.28    20.658
 4585.25   20.5126
 4615.22   20.5126
 4645.19   20.5126
 4675.16   20.3691
 4705.12   20.3691
