Cantidad de clientes TS - Time Series Histogram
procesed = 3694.35
mean = 15091.5	variance = 6.47102e+07	sd = 8044.26
minX = 30	maxX = 28800
minY = 0	maxY = 4.52846

      30         0
 59.9688         2
 89.9375   2.57362
 119.906   2.50794
 149.875   2.28344
 179.844   2.28344
 209.812   2.15263
 239.781   2.17584
  269.75   2.17584
 299.719   2.15011
 329.688   2.15011
 359.656   1.89303
 389.625   1.89303
 419.594   1.90898
 449.562   1.88311
 479.531   1.88716
   509.5   2.01396
 539.469   2.10982
 569.438   2.10982
 599.406   2.01991
 629.375   2.01991
 659.344   2.01991
 689.312   2.01991
 719.281   2.01638
  749.25   2.06681
 779.219   2.12439
 809.188    2.1422
 839.156   2.17292
 869.125   2.19236
 899.094   2.28176
 929.062   2.35419
 959.031   2.44132
     989   2.45405
 1018.97   2.49827
 1048.94   2.56821
 1078.91   2.58925
 1108.88   2.58925
 1138.84   2.68429
 1168.81   2.74429
 1198.78   2.77162
 1228.75   2.82401
 1258.72   2.84673
 1288.69   2.87398
 1318.66   2.89267
 1348.62   2.92056
 1378.59   2.92056
 1408.56   2.98488
 1438.53   3.00353
  1468.5   3.03504
 1498.47   3.12343
 1528.44   3.21837
 1558.41   3.29458
 1588.38   3.38081
 1618.34   3.38081
 1648.31   3.38081
 1678.28   3.54996
 1708.25   3.57317
 1738.22   3.57317
 1768.19   3.58507
 1798.16   3.58122
 1828.12   3.58122
 1858.09   3.52594
 1888.06   3.51737
 1918.03   3.55323
    1948   3.56753
 1977.97   3.56297
 2007.94   3.54962
 2037.91   3.53757
 2067.88   3.48934
 2097.84   3.43098
 2127.81   3.40696
 2157.78   3.39235
 2187.75   3.37173
 2217.72   3.37371
 2247.69   3.37754
 2277.66   3.38606
 2307.62   3.38014
 2337.59   3.37536
 2367.56   3.38259
 2397.53   3.37467
  2427.5   3.37527
 2457.47   3.38811
 2487.44   3.42872
 2517.41    3.4352
 2547.38   3.44161
 2577.34   3.45328
 2607.31   3.45328
 2637.28   3.52375
 2667.25   3.55281
 2697.22   3.60435
 2727.19    3.6202
 2757.16   3.64161
 2787.12   3.64191
 2817.09   3.64825
 2847.06   3.66005
 2877.03   3.66215
    2907   3.66215
 2936.97   3.65093
 2966.94   3.66119
 2996.91   3.65592
 3026.88    3.6338
 3056.84   3.61911
 3086.81   3.61911
 3116.78   3.56899
 3146.75   3.54568
 3176.72   3.54568
 3206.69   3.53423
 3236.66   3.53002
 3266.62   3.51514
 3296.59    3.5292
 3326.56   3.53777
 3356.53   3.55015
  3386.5   3.55138
 3416.47   3.54693
 3446.44   3.53193
 3476.41    3.5259
 3506.38   3.49439
 3536.34   3.47988
 3566.31    3.4765
 3596.28   3.46329
 3626.25   3.45242
 3656.22   3.44079
 3686.19   3.44302
 3716.16   3.44281
 3746.12   3.45484
 3776.09   3.46597
 3806.06   3.48064
 3836.03   3.49406
    3866   3.49903
 3895.97   3.49529
 3925.94   3.49228
 3955.91   3.49483
 3985.88   3.51614
 4015.84   3.52965
 4045.81   3.52965
 4075.78   3.59097
 4105.75   3.63097
 4135.72   3.68836
 4165.69   3.71365
 4195.66   3.76261
 4225.62   3.81492
 4255.59   3.82561
 4285.56   3.86615
 4315.53   3.89085
  4345.5   3.89618
 4375.47   3.89668
 4405.44   3.88452
 4435.41   3.88452
 4465.38   3.86184
 4495.34   3.83728
 4525.31   3.82955
 4555.28   3.81718
 4585.25   3.79784
 4615.22   3.77786
 4645.19   3.76233
 4675.16   3.74472
 4705.12   3.72448
 4735.09   3.69748
 4765.06   3.68554
 4795.03   3.65551
    4825   3.65551
 4854.97   3.63134
 4884.94   3.63134
 4914.91   3.60468
 4944.88   3.60444
 4974.84   3.61528
 5004.81   3.61634
 5034.78   3.61058
 5064.75   3.60852
 5094.72    3.6138
 5124.69   3.61446
 5154.66   3.61027
 5184.62   3.59322
 5214.59   3.58494
 5244.56    3.5844
 5274.53   3.58499
  5304.5   3.57851
 5334.47   3.57853
 5364.44   3.56673
 5394.41   3.56595
 5424.38   3.56031
 5454.34   3.55394
 5484.31   3.55472
 5514.28   3.55924
 5544.25   3.56057
 5574.22   3.56718
 5604.19   3.57034
 5634.16   3.57034
