Media de tiempos de Espera TS - Time Series Histogram
procesed = 32360.6
mean = 2441.27	variance = 648364	sd = 805.211
minX = 30	maxX = 3600
minY = 0	maxY = 533.859

      30         0
   59.75         0
    89.5         0
  119.25   2.88565
     149   2.43861
  178.75   3.90391
   208.5    5.2922
  238.25    5.2922
     268   9.80802
  297.75   15.5957
   327.5   20.5876
  357.25   28.3025
     387   35.7619
  416.75   38.3592
   446.5   42.4663
  476.25   46.4794
     506    53.806
  535.75    53.806
   565.5   62.5789
  595.25   66.4463
     625   73.0147
  654.75   79.4381
   684.5   79.4381
  714.25   79.4381
     744   88.6538
  773.75   88.6538
   803.5   94.2719
  833.25   94.2719
     863   106.237
  892.75   106.237
   922.5   112.233
  952.25   124.264
     982   130.138
 1011.75    135.61
  1041.5    135.61
 1071.25   153.339
    1101   153.339
 1130.75   164.333
  1160.5   169.843
 1190.25     175.2
    1220   185.555
 1249.75   190.872
  1279.5   201.167
 1309.25   209.743
    1339   221.531
 1368.75   228.485
  1398.5   231.905
 1428.25   238.325
    1458   241.402
 1487.75   247.801
  1517.5   253.669
 1547.25   256.529
    1577   264.768
 1606.75   267.336
  1636.5   270.211
 1666.25    273.12
    1696   278.754
 1725.75   281.535
  1755.5   281.535
 1785.25   284.799
    1815   288.181
 1844.75   291.706
  1874.5   298.439
 1904.25   307.569
    1934   310.461
 1963.75   316.285
  1993.5   321.804
 2023.25   324.359
    2053   327.111
 2082.75   329.932
  2112.5   332.846
 2142.25   338.606
    2172   338.606
 2201.75    344.81
  2231.5   348.007
 2261.25   353.898
    2291   359.613
 2320.75   365.282
  2350.5   368.143
 2380.25   373.403
    2410   378.645
 2439.75   383.739
  2469.5   386.138
 2499.25   391.156
    2529    393.73
 2558.75   396.301
  2588.5   396.301
 2618.25   396.301
    2648   402.274
 2677.75   408.007
  2707.5   410.924
 2737.25   413.804
    2767   419.464
 2796.75   419.464
  2826.5   419.464
 2856.25   422.814
    2886   426.179
 2915.75   432.984
  2945.5   436.443
 2975.25   439.763
    3005   439.763
 3034.75   447.194
  3064.5   450.679
 3094.25   454.292
    3124   461.624
 3153.75   465.173
  3183.5   472.214
 3213.25    475.76
    3243   479.341
 3272.75   492.847
  3302.5   495.976
 3332.25   499.115
    3362   508.542
 3391.75   508.542
  3421.5   511.839
 3451.25   515.093
    3481   521.603
 3510.75   530.832
  3540.5   533.859
 3570.25   536.938
