Cantidad de clientes TS - Time Series Histogram
procesed = 2235.03
mean = 2258.11	variance = 827937	sd = 909.911
minX = 30	maxX = 3600
minY = 2	maxY = 30.2647

      30         2
   59.75   2.55797
    89.5   3.34925
  119.25   3.32849
     149   3.40613
  178.75   3.78683
   208.5   4.03449
  238.25   4.24631
     268   4.82076
  297.75   5.29074
   327.5   6.01467
  357.25    6.4741
     387    6.8231
  416.75   7.14287
   446.5   7.51347
  476.25   7.74621
     506   7.88875
  535.75   8.16663
   565.5   8.53973
  595.25   8.97979
     625   9.21337
  654.75   9.50359
   684.5   9.76658
  714.25   9.90825
     744   10.2383
  773.75   10.7103
   803.5   10.9126
  833.25   11.2485
     863   11.6282
  892.75   12.0342
   922.5    12.412
  952.25   12.5957
     982   13.0237
 1011.75   13.4288
  1041.5    13.934
 1071.25   14.2658
    1101   14.7073
 1130.75    15.118
  1160.5   15.4909
 1190.25   15.6843
    1220   15.9478
 1249.75   16.2217
  1279.5   16.4428
 1309.25   16.7476
    1339   16.9384
 1368.75    17.086
  1398.5    17.252
 1428.25   17.3503
    1458    17.547
 1487.75   17.7302
  1517.5   17.9444
 1547.25   18.0796
    1577   18.2494
 1606.75   18.4144
  1636.5   18.5946
 1666.25   18.6696
    1696   18.8388
 1725.75   19.0363
  1755.5   19.2629
 1785.25   19.5028
    1815   19.7536
 1844.75   19.9796
  1874.5   20.2083
 1904.25   20.3979
    1934   20.5037
 1963.75   20.7823
  1993.5   20.9384
 2023.25   21.1492
    2053   21.3543
 2082.75   21.5372
  2112.5   21.7333
 2142.25   21.8938
    2172   21.9958
 2201.75    22.193
  2231.5   22.4117
 2261.25   22.6395
    2291   22.8655
 2320.75   23.0739
  2350.5   23.2816
 2380.25    23.371
    2410   23.5769
 2439.75   23.8328
  2469.5   23.9671
 2499.25   24.1801
    2529   24.4024
 2558.75    24.602
  2588.5   24.8215
 2618.25   24.9544
    2648   25.1941
 2677.75   25.3957
  2707.5   25.6012
 2737.25   25.7729
    2767    25.951
 2796.75     26.15
  2826.5   26.3553
 2856.25    26.455
    2886   26.6361
 2915.75   26.8061
  2945.5   27.0291
 2975.25   27.2155
    3005   27.4188
 3034.75   27.6304
  3064.5   27.8422
 3094.25   28.0412
    3124   28.1412
 3153.75   28.3766
  3183.5   28.5573
 3213.25   28.6984
    3243    28.875
 3272.75    29.009
  3302.5   29.1675
 3332.25   29.2928
    3362   29.3842
 3391.75   29.5392
  3421.5   29.7055
 3451.25   29.8529
    3481   29.9918
 3510.75   30.1223
  3540.5   30.2647
 3570.25   30.3678
