Cantidad de clientes TS - Time Series Histogram
procesed = 3026.61
mean = 14975.5	variance = 6.65987e+07	sd = 8160.8
minX = 30	maxX = 28800
minY = 0	maxY = 3.93278

      30         0
 59.9688   1.88229
 89.9375   1.94311
 119.906   2.09513
 149.875   2.07853
 179.844   1.92325
 209.812   2.10037
 239.781   2.45104
  269.75   2.46413
 299.719   2.46413
 329.688   2.37167
 359.656   2.20277
 389.625   2.20277
 419.594   2.17285
 449.562   2.09869
 479.531   2.12265
   509.5   2.30445
 539.469   2.45864
 569.438   2.45864
 599.406   2.42698
 629.375   2.30189
 659.344   2.30189
 689.312   2.17789
 719.281   2.11667
  749.25   2.11153
 779.219   2.19061
 809.188    2.1985
 839.156   2.23028
 869.125   2.26312
 899.094    2.3211
 929.062   2.37198
 959.031   2.41681
     989   2.43339
 1018.97   2.49849
 1048.94   2.50489
 1078.91   2.49964
 1108.88   2.49964
 1138.84   2.53439
 1168.81   2.57236
 1198.78   2.55647
 1228.75   2.54667
 1258.72   2.55459
 1288.69   2.52574
 1318.66   2.50221
 1348.62   2.51566
 1378.59   2.51566
 1408.56   2.52995
 1438.53   2.56317
  1468.5   2.58733
 1498.47   2.57998
 1528.44   2.61957
 1558.41   2.61957
 1588.38   2.61766
 1618.34   2.59564
 1648.31   2.59564
 1678.28   2.59564
 1708.25   2.45896
 1738.22   2.43856
 1768.19   2.43856
 1798.16   2.43856
 1828.12   2.43856
 1858.09   2.43856
 1888.06   2.32448
 1918.03   2.34601
    1948   2.34685
 1977.97   2.37407
 2007.94   2.43706
 2037.91   2.43706
 2067.88   2.43706
 2097.84   2.41549
 2127.81   2.41015
 2157.78   2.43099
 2187.75   2.45142
 2217.72     2.467
 2247.69   2.49008
 2277.66   2.51595
 2307.62     2.527
 2337.59    2.5078
 2367.56   2.51016
 2397.53   2.51867
  2427.5   2.52334
 2457.47   2.52529
 2487.44   2.54323
 2517.41   2.54323
 2547.38   2.56813
 2577.34   2.54559
 2607.31   2.54559
 2637.28   2.56742
 2667.25   2.56715
 2697.22   2.58196
 2727.19   2.57952
 2757.16   2.54803
 2787.12   2.53748
 2817.09   2.53955
 2847.06   2.51653
 2877.03   2.49595
    2907   2.49595
 2936.97   2.49595
 2966.94   2.45149
 2996.91    2.4375
 3026.88    2.4375
 3056.84    2.4375
 3086.81   2.36398
 3116.78    2.3608
 3146.75   2.35756
 3176.72   2.35189
 3206.69   2.35074
 3236.66    2.3566
 3266.62   2.35964
 3296.59   2.37493
 3326.56   2.38968
 3356.53   2.41621
  3386.5   2.41621
 3416.47   2.43762
 3446.44   2.46646
 3476.41   2.48089
 3506.38   2.49524
 3536.34   2.50152
 3566.31   2.50722
 3596.28   2.51343
 3626.25   2.54379
 3656.22   2.54715
 3686.19   2.59234
 3716.16   2.63888
 3746.12   2.70054
 3776.09    2.7494
 3806.06   2.77865
 3836.03   2.77865
    3866     2.856
 3895.97   2.89077
 3925.94   2.90762
 3955.91   2.92621
 3985.88   2.93957
 4015.84   2.96249
 4045.81   2.98733
 4075.78   3.00143
 4105.75    3.0269
 4135.72   3.04154
 4165.69   3.05861
 4195.66   3.08622
 4225.62   3.11018
 4255.59   3.13236
 4285.56   3.14188
 4315.53   3.14894
  4345.5   3.14721
 4375.47    3.1281
 4405.44   3.10992
 4435.41   3.10992
 4465.38   3.08563
 4495.34   3.08563
 4525.31   3.05575
 4555.28   3.04945
 4585.25   3.02401
 4615.22   3.01088
 4645.19   3.01088
 4675.16   2.98426
 4705.12   2.98426
 4735.09    2.9672
 4765.06   2.95818
 4795.03   2.95818
    4825    2.9226
 4854.97   2.91258
 4884.94   2.91258
 4914.91   2.89672
 4944.88   2.89576
 4974.84   2.89875
 5004.81   2.89379
 5034.78   2.88072
 5064.75   2.87168
 5094.72   2.86762
 5124.69    2.8713
 5154.66   2.87867
 5184.62    2.8828
 5214.59   2.88082
 5244.56    2.8805
 5274.53    2.8805
  5304.5   2.90176
 5334.47   2.91403
 5364.44   2.92976
